Well, thank you.	You're late again.
Yeah. I think it's getting better.	What the hell is this?
It's veggie bacon. We're watching our cholesterol, I guess.	Not me. I want real bacon. Not this fake crap.
Too bad. Eat it.	This smells like Band-aids.
Eat your veggie bacon.	You all set?
Yeah, I'm fine.	All right, see you at home.
Okay, see you.	Chemistry. It is the study of what? Anyone? Ben.
She's showing a little.	Carmen, this is my sister Marie.
Nice, isn't it?	Dad, come check this out.
Yeah, I see it.	Come on, take it.
Check it out, Walt.	No, no, it's just heavy.
Were any shots fired?	No, ma'am. Our agents took the suspects by surprise.
That faux-Lalique vase I picked up at the Super-Swap.	How's it doing?
Until what time? Noon? 1-ish?	Probably 2, more like it.
What is going on down there?	No, it's just...
You understood what I've just said to you?	Yes. Lung cancer. Inoperable.
Phosphine gas. I think.	Yeah, exactly. One whiff will kill you. That's why the
Driver's license says Emilio Koyama.	Asian! Pay up, sucker.
Oh, my God. Pinkman?	It's me. I'm alone.
I own it.	No one's looking for you.
Somebody bought it?	Yeah, some guy in Minneapolis. 14 dollars plus shipping.
Open offer. So what's up with Walt lately?	What do you mean? He's fine.
So it's a mid-life crisis.	No, he's just quiet.
Guess that answers that.	a round bottom boiling flask.
Buy the RV. We start tomorrow.	How's it coming in there?
Cow house. God help me.	What are you doing?
Would you shut up and help me?	Oh, yeah. Oh, yeah, work it. Baby, work it.
It's all right? It's all right?	Yeah, it's all right. So, what? You back in business?
I say we cap 'em both.	Hey, you really cook up that batch?
Twelve Hours Earlier	You are a lifesaver.
Dude, you so need GPS. I mean, for real.	Like I said, we couldn't be more grateful.
You have a good day, sweetie.	Okay, Mom. You too.
Oh, no, no not good. Not good.	What the...hey, you. Listen No, no, no, no! Oh, God!
No, not him so much. His cousin, mainly.	Who's his cousin?
The guy out in the RV!	All right, all right.
Krazy-8's one level higher.	One level higher?
I'll do the body in the acid, okay?	Heads or tails?
Not yet. God. I gotta go.	What? No, come back here!
Just a minute. I wanna talk to you.	No, I'm not interested.
Iron. Wow, okay. .00004%.	What? You can't have hemoglobin without iron.
Apparently, it don't take much.	No, it don't. Go figure. Sodium.
What? No! No. What would make you even�	Where's he getting it from?
How do you know my name?	Jesse. He told Emilio and me.
No! No way!	Where the hell do you think you're going?
Back off, man! Jesus!	We've got work to do!
Excuse me. His own mother seems to think so.	Skyler told you that?
She inferred it.	She inferred it, huh?
Good. Scare him straight.	Where's my sugar?
No, not really.	Think you'd like to live here?
A cop and some football player messing with me.	They ask about me? Huh?
What does your dad do?	He owns Tampico Furniture over on Menaul.
Yeah. You do.	I'll get the key.
That's very understanding.	Whatever, man. I just want to go home.
You got something?	I don't know. Just doesn't it seem like something's missing?
What about the soul?	The soul. There's nothing but chemistry here.
I don't know. It's store-bought.	Hank, you need another beer?
Marie, some more wine, maybe?	I'm all right, thanks.
Honey, do you need anything?	No, Walt. Thank you.
What's she talking about? Walt.	I have cancer. Lung cancer. It's bad.
Ask him how long he's known.	I guess a month, maybe, or...
No, thanks, man. Pass.	Your loss. These are from Canada or something. Imported.
Say, Jesse. You still cook a little crystal?	Could be, yeah. You know, from time to time.
Do you need some help?	No, I'm fine, honey. I'm fine. Just Privacy. Thanks.
What's that we're putting on a credit card?	It's just a deposit kind of thing.
What can I do for you?	Which dude? The dude that looked like a lizard?
Dude, play some, play some Jethro Tull.	Hey, guys. How are we doing in here?
Nobody. What are you, nuts?	Then why are you here?
What? I'm just saying.	Go and don't come back. Now!
It was pretty awesome.	Retirement? I can't be hearing this!
It's a stupid gift.	No, it isn't. He'll love it.
Oh, come on.	Sir, I'll take that for you.
Walt! You made it.	Happy birthday. Wouldn't miss it for the world.
Thank you. It's really nice to be here.	When are you due?
Walt? I thought that was you.	Farley! Long time no see.
Well, no. No, that's Gretchen and Elliott.	I gravitated toward education.
Oh God, I miss this, Walt.	Yeah. Me, too.
Look, there's nothing we can't work out.	Well, yeah, but it's complicated.
You ready to go?	I'm taking the bus.
Okay bye, honey.	Hey, dude, are these bullet
No, man. Those are for, like, you know, ventilation.	Cool. Nice set-up, huh?
Okay. We're in business. Right on, Badger.	Dude, check this out.
Jesus, what the hell are you bringing that for?	Hunting. We might see javelinas.
What about him?	Are you kidding? He looks younger than us.
Why do I have to do it?	Give me the crutches and I'll go do it.
No, it's not?	Yeah, it is.
He admitted it. He said he liked it.	Walt? I didn't think he had it in him.
It's not right.	What do you mean it's not right?
We'll just do it again until we get it right.	Walt, please have a seat and join us.
This is bullshit.	Hey, come on.
It's all right. Talk. Tell your dad how you feel.	I'm pissed off.
My husband's life we're talking about!	Ladies. Come on.
How dare you?	This is so stupid.
All right what?	I'll do the treatment. It's gonna be okay.
And then Elliott will send a check.	I will take care of it.
Elliott told me about the cancer. I'm so sorry.	Well, you know, it is what it is, I guess.
Good, that's good news.	You know, that really was a great party.
Keep in touch, okay?	Sure. Sure. Thank you for calling.
No matter what happens, no more bloodshed. No violence.	Walt? You all right?
So we're good. We're good.	Could you not deposit this until Monday? Thank you.
No. I'm just dizzy.	Come here. Sit down, sit down.
I'm burning up.	Take this off. Sit down. Get some air.
Oh, God. Yeah, that's better.	When were you going to tell me?
Tell you what?	Cancer. You got it, right?
Your aunt. How bad was she when they caught it?	Bad enough. She didn't last long.
"Property of J. P. Wynne Chemistry Lab." That's Walt's school.	We were supposed to start at 3.
26 big ones.	Is that all? $26,000?
Yeah, I mean I used to until you kill	So who took Krazy-8's place?
You just don't get it, man. This guy's O.G.	What does that mean?
Wait till Monday again?	Yes, please. Thank you.
I'll need to take a look at that inventory.	Sure. I got a list hanging on the wall.
You mind if I take a look at your storeroom?	Not at all, no. Be my guest.
How about students?	No, no. No students have keys.
We don't want people to start wondering about you, right?	Right. No. Right. Absolutely not.
Hey, man. Yeah, I've heard a lot about you.	Break out the ice. Take a bump.
No worries, man. I'm no cop.	I said hit it.
I cooked it.	Bullshit! Who you working for?
See? I told you Tuco would hook you up.	Cool. I haven't said how much.
All right. How much?	35 large for the pound.
You'll get it. This is a consignment operation.	You want me to float 35 G's?
Don't front, dude. Tuco's good for it.	I don't need your punk ass to vouch for me!
Hank's about to deal.	Okay. I'll be right there.
All right. Let's see what the turn brings us.	You're looking good, Walt. Your color's better.
Check's in the mail. 10 million.	Red's 25 million. Blue's 10.
You the guy?	Yeah, I'm the guy. How is he?
Good morning. Would you pass the butter, please?	Bad ass, Dad.
No. Please. No one said anything about LSD.	What about the equipment that was stolen?
I'm here to see the owner.	He's in the recreational vehicle.
Yo, it's appointment only!	How you feeling?
So Tuco gave you this is what you're saying.	We made a deal.
Here we are.	Skyler, you look great.
How do you feel?	Oh, okay. You know, pretty decent actually.
I want all of it. 70 grand.	What did you say?
Okay. That's $65,625 with interest. 1.875 pounds.	No. 2 pounds. Next Friday. And no production problems.
Thank you. Look at the little feet.	From me. And Hank.
You think it's a good idea?	Hank, I've already got lung cancer.
Yeah, well, sometimes forbidden fruit tastes the sweetest, doesn't it?	It's funny, isn't it? How we draw that line.
You mean like pot?	Yeah. Like pot. Or whatever.
Methylamine. Where's the methylamine? I don't see the methylamine.	Yeah, well, that's where I ran into some trouble.
So why don't we just steal it ourselves?	Yeah? How are we going to do that?
So who gave it to you, then?	I don't think I have to tell you that.
I don't know. There he is.	Yeah, I see him.
Wait till he passes.	Okay, it's clear. What the hell is this?
Oh, God. Carry your bag.	What? What are you doing?
Okay, there is it.	Is this going to be loud?
Where are the gallon jugs?	I don't know.
How is it going to be any different?	Can I just try it?
What part of slow it down did you not understand?	You talk too much. It's heavy, man.
What were you doing at Zachary's?	I was returning it.
Excuse me. I'd just like to see the basement.	Yeah, well, it's occupied.
So how was it? Was it an experience?	Yeah. It was definitely an experience.
What's that smell?	Yeah. It's sacred Navajo herbs and, hey, is everything okay?
Just remember who you're working for.	What did you say?
Just remember who you're working for.	What did you say?
Do something? He needs an ambulance. He needs a hospital.	Do something! You're smart, right? Do that thing!
No, there's nothing.	Breathe into his mouth.
This is conjecture?	Yes. And conjecture isn't helping.
What do you mean how would I do it?	Specifically, how would you do it? Step by step.
Three shots, or, I don't know, two.	But is it two, or is it three?
Obviously she's not home.	What was that about Chinese?
Dinner tonight. That new place.	How late they serve?
I don't know.	You got Dave at 8.
This is them. Check this out.	Holy shit. What was that?
How would he know where I live?	You're sure it was Tuco?
We are going to process them into ricin.	Rice and beans?
No, come on in.	I should've called first. I'm sorry.
What can I do for you?	Maybe we ought to sit down first?
That's all it takes?	That's all it takes.
Not if Tuco kill us	Just keep it down. Hey, Hank. What's up?
Me and my big mouth, I guess.	Well, that happens. It's no problem. No worries.
Well, thanks, man. I appreciate that. Jesus, the wives, huh?	Hank, unfortunately, I really...
Do you mind if I get in there?	No, go ahead.
I don't know where to begin.	What the hell are you doing here?
Damn. You don't think he...Holler if you need me.	Thanks a lot, man. Appreciate that.
I'm looking into it.	What phone call?
Second cell phone.	Yeah. I'm thinkin' that.
Get away from me!	Settle down, bitch!
Don't do this, Tuco.	No more posters?
Yeah, man. I mean, me, neither.	Who's talking to you?
We can't just ignore a potential clue, Hank.	Okay. What are you talking about?
Walt? Please. What about the marijuana?	He's not on pot anymore.
Oh, my God. Is my son in trouble?	I have absolutely no reason to think that, no.
Jesus! I don't want to die!	Tell me what you did!
Let him bleed. The keys! Oh, my God. The cousins?	What the hell's going on?
My God. I'm so sorry. Come here.	You know who I am, right?
What a day this has been?	So, Uncle Hank. He was in a
But where did this happen? How could he be...	Walt, everything's okay. We're all okay.
And no idea what caused it?	But they're gonna run a whole series of tests, so.
What other matter?	An unrelated family matter.
They need probable cause.	"Probable cause?" Yo, what'd you do? Rob a bank?
God, Badger! Don't mess with me! Got it?	I got it.
My God. Okay, that's all of it.	This is a bad choice.
You sure about this guy?	He's totally, totally cool. He's my cousin.
Yo, what'd we say, 500?	We didn't say, and it's 1,000.
$1,000? C'mon, where you towing it, man, Seattle?	It ain't the miles, it's the cargo.
