They do to!	They do not!
I figured you'd get to the good stuff eventually.	What good stuff?
What good stuff?	"The ""real you""."
"The ""real you""."	Like my fear of wearing pastels?
You know Chastity?	I believe we share an art instructor
C'esc ma tete. This is my head	Right.  See?  You're ready for the quiz.
Gosh, if only we could find Kat a boyfriend...	Let me see what I can do.
I have to be home in twenty minutes.	I don't have to be home 'til two.
You set me up.	I just wanted --
You looked beautiful last night, you know.	So did you
I'm not stupid enough to repeat your mistakes.	I guess I thought I was protecting you.
He was, like, a total babe	But you hate Joey
But you hate Joey	Now I do.  Back then, was a different story.
You are so completely unbalanced.	Can we go now?
Like I'm supposed to know what that even means.	It's Shakespeare.  Maybe you've heard of him?
Where've you been?	Nowhere... Hi, Daddy.
Oh, God.  It's starting.	It's just a party. Daddy.
Daddy, people expect me to be there!	If Kat's not going, you're not going.
Daddy, I --	And where're you going?
But she doesn't want to date.	Exactly my point
Buttholus extremus.  But hey, you're making progress.	No, I ' m not.
Assail your ears for one night.	It's her favorite band.
Number one.  She hates smokers	It's a lung cancer issue
It's a lung cancer issue	Her favorite uncle
Her favorite uncle	Dead at forty-one.
What makes you think he'll do it?	He seems like he thrives on danger
Did she actually say she'd go out with you?	That's what I just said
What about him?	You wanna go out with him?
Yeah, just a minor encounter with the shrew.	That's her?  Bianca's sister?
That's her?  Bianca's sister?	The mewling, rampalian wretch herself.
You know French?	Sure do ... my Mom's from Canada
Sure do ... my Mom's from Canada	Guess who just signed up for a tutor?
Guess who just signed up for a tutor?	You mean I'd get a chance to talk to her?
You mean I'd get a chance to talk to her?	You could consecrate with her, my friend.
That girl -- I --	You burn, you pine, you perish?
You burn, you pine, you perish?	Who is she?
Who is she?	Bianca Stratford.  Sophomore. Don't even think about it
So -- which Dakota you from?	North, actually.  How'd you   ?
North, actually.  How'd you   ?	I was kidding. People actually live there?
How many people go here?	Couple thousand. Most of them evil
You the new guy?	So they tell me...
So they tell me...	C'mon.  I'm supposed to give you the tour.
What's the worst?	You get the girl.
You makin' any headway?	She kissed me.
What 're you talking about?	She's partial to Joey, not me
Cameron, I'm a little busy	It's off. The whole thing.
Gigglepuss is playing there tomorrow night.	Don't make me do it, man
Leave my sister alone.	And why would I do that?
Hey -- do you mind?	Not at all
It's about time.	A deal's a deal.
When I shell out fifty, I expect results.	I'm on it
Take it or leave it.  This isn't a negotiation.	Fifty, and you've got your man.
Sure, Sparky.  I'll get right on it.	You just said
You just said	You need money to take a girl out
You better not fuck this up.  I'm heavily invested.	Hey -- it's all for the higher good right?
I hear you're helpin' Verona.	Uh,  yeah.  We're old friend*
Uh,  yeah.  We're old friend*	You and Verona?
You and Verona?	What?  We took bathes together when we were kids.
Are you lost?	Nope - just came by to chat
Nope - just came by to chat	We don't chat.
William would never have gone to a state school.	William didn't even go to high school
William didn't even go to high school	That's never been proven
That's never been proven	Neither has his heterosexuality.
I'm sure he's completely incapable of doing anything that interesting.	He always look so
Because I like to torture you.	Oh, Bianca?  Can you get me my freshman yearbook?
Oh, Bianca?  Can you get me my freshman yearbook?	Don ' t you even dare. . .
Is that right?	Yeah, but then I fucked up. I fell for her.
That ' s completely adorable!	It gets worse -- you still have your freshman yearbook?
You tell me.	You need therapy.  Has anyone ever told you that?
You need therapy.  Has anyone ever told you that?	Answer the question, Patrick
Is that a request or a command?	You know what I mean
Tell me something true.	I hate peas.
I hate peas.	No -- something real.  Something no one else knows.
No one else knows	You're amazingly self-assured. Has anyone ever told you that?
You're amazingly self-assured. Has anyone ever told you that?	Go to the prom with me
You up for it?	For. . . ?
A soft side? Who knew?	Yeah, well, don't let it get out
Yeah, well, don't let it get out	So what's your excuse?
So what's your excuse?	Acting the way we do.
So if you disappoint them from the start, you're covered?	Something like that
Something like that	Then you screwed up
So how'd you get Chapin to look the other way?	I dazzled him with my wit
Put your right foot there --	Forget it.  I'm stayin'.
I guess I never told you I'm afraid of heights.	C'mon.  It's not that bad
C'mon.  It's not that bad	Try lookin' at it from this angle
So what did I have an effect on ?	Other than my upchuck reflex? Nothing.
What are you doing here?	I heard there was a poetry reading.
I heard there was a poetry reading.	You 're so --
Oh, so now you think you know me?	I'm gettin' there
Start a band?	My father wouldn't approve of that that
No, you weren't	Then why'd you ask?
Then why'd you ask?	Why'd you lie?
I thought you were above all that	You know what they say
Why 're you doing this?	I told you
I told you	You don't care if I die
You don't care if I die	Sure, I do
You're not okay.	I just need to lie down for awhile
I just need to lie down for awhile	Uh, uh. You lie down and you'll go to sleep
Uh, uh. You lie down and you'll go to sleep	I know, just let me sleep
I say, do what you wanna do.	Funny, you're the only one
You know who The Raincoats are?	Why, don't you?
You hate me don't you?	I don't really think you warrant that strong an emotion.
Pick you up Friday, then	Oh, right.  Friday.
I mean Wo-man.  How ya doin'?	Sweating like a pig, actually.  And yourself?
Sweating like a pig, actually.  And yourself?	There's a way to get a guy's attention.
There's a way to get a guy's attention.	My mission in life.
So tell me about this dance. Was it fun?	Parts of it.
My insurance does not cover PMS	Then tell them I had a seizure.
Then tell them I had a seizure.	Is this about Sarah Lawrence? You punishing me?
Is this about Sarah Lawrence? You punishing me?	I thought you were punishing me.
I thought you were punishing me.	Why can't we agree on this?
Why can't we agree on this?	Because you're making decisions for me.
Because you're making decisions for me.	As a parent, that's my right
As a parent, that's my right	So what I want doesn't matter?
Cool pictures.  You a fan?	Yeah.  I guess.
You were right. She's still pissed.	Sweet love, renew thy force!
"Are you telling me I'm a -  ""non-smoker""?"	Just for now.
You two are gonna help me tame the wild beast?	We're your guys.
That's where we can help you.  With Kat.	So Dorsey can get the girl?
You're completely demented.	See you next week!
It was a bratwurst.  I was eating lunch.	With the teeth of your zipper?
What just happened?	Your daughters went to the prom.
Your daughters went to the prom.	Did I have anything to say about it?
Have a great time, honey!	But -- who -- what --?
What's a synonym for throbbing?	Sarah Lawrence is on the other side of the country.
In the microwave.	Make anyone cry today?
We should have seen land.	We left three weeks ago, Alonso. Can't be that near.
He's the devil's child...	We'll all go crazy...
What are you listening to, chicken ass?	Ah, leave him alone.  He's doing no harm.
Don't you realize your words could be considered heretical?	Blind faith is what I consider heresy!
Your life, and that of others!	If they agree to follow me, yes.
You can see for yourself.	What a tragedy... what a waste of a life...
Can't you stay with us a little?	I am busy inside.
Beatrix, I want to ask you something.	You don't usually ask.
I'm not asking you to swear to anything.	I don't want you to wait for me.
I don't want you to wait for me.	That's something you can't decide.
Perhaps I was never meant to live with a woman...	I find that hard to believe.
My letters of appointment.	Appointment to what?
Appointment to what?	Viceroy of the West Indies.
Don Alonso de Bobadilla.	Yes... I remember...
May I ask by whom?	Bartolome and Giacomo Colon.
I have to explore the mainland.	This time with me!
Do you swear on all the Holy Saints in heaven?	Yes... Yes, I do... On all of them!
I want to go with you!	There'll be a time.
There'll be a time.	You promise?  Do you swear on St. Christopher...?
What do you see?	Roofs... towers, palaces... spires...
Roofs... towers, palaces... spires...	All of them created by people like me.
You seem to have a special talent for making friends.	What...?  Do I have so many already?
You defend yourself admirably...	... for a commoner?
I'm not bargaining!	Then you are too ambitious.
To bring the word of God.	Chief says -- he has a God.
Chief says -- he has a God.	... and also to bring medicine.
You come!  You speak first!	Tell the Chief we thank him.
Say not here!  Cuba!	What is it?  A tribe?  An island?
What is it?  A tribe?  An island?	Island.  Far.
I have to disagree.	I knew you would.
I knew you would.	New worlds create new people.
